id,title,body,label
1,"terraform apply panics with nil pointer dereference in azurerm provider 3.45.0","Steps to reproduce: provision a resource_group with a kv block. On apply, Terraform exits with a nil pointer in the azurerm provider plugin. Stack trace attached.",bug
2,"S3 bucket destroy hangs indefinitely with versioning enabled","Calling terraform destroy on an aws_s3_bucket with versioning=true and ~12k versioned objects hangs forever. The provider logs show polling for completion but no progress after 90 minutes.",bug
3,"Regression: terraform init no longer recognizes the lock file after upgrading 1.5 to 1.6","After upgrading to 1.6.4, init refuses to start, claiming the provider hash in .terraform.lock.hcl is invalid. Reverting to 1.5 makes the same project work again.",bug
4,"terraform validate reports false positive errors on partial backend configuration","With an s3 backend that uses partial config (only bucket and key set, the rest via -backend-config), validate fails on what looks like a complete config from the runtime's POV.",bug
5,"Workspace deletion silently fails when remote state holds a lock","Deleting a workspace via the CLI exits 0 even when the state is locked by another in-flight apply. The workspace then ends up in a half-deleted state visible only via the API.",bug
6,"Plan output is non-deterministic for sets of resources with the same tags","On repeated `terraform plan` runs against the same config, the order of items inside a tag set varies, producing churn in the human-readable plan output even when no real change exists.",bug
7,"Add support for assume_role_with_web_identity to the aws provider","It would be useful to authenticate the AWS provider using OIDC tokens (e.g. from GitHub Actions) without needing static credentials. Could the provider accept web_identity_token + web_identity_token_file?",feature
8,"Allow setting custom HTTP headers in the http data source","Some internal APIs require an Authorization header. Right now the http data source only supports request_headers via env. A first-class `request_headers` argument would unblock several uses.",feature
9,"Request: native JSON output for terraform fmt -check","Currently fmt -check exits non-zero on diffs but emits human-readable output. A -json flag matching `terraform plan -json` would let CI tools render the diff structurally.",feature
10,"Support for IAM Identity Center (formerly AWS SSO) profiles in the aws provider","The aws provider supports static credentials and assume_role, but not directly reading from an IAM Identity Center profile in ~/.aws/config. Could this be added natively?",feature
11,"Native OpenTelemetry traces from terraform apply","Would be valuable to emit OTLP traces during apply so we can see provider RPC latency in our existing observability stack rather than parsing -json logs.",feature
12,"Allow ignore_changes on a computed nested attribute","Today ignore_changes works at the top level but not on nested attributes inside a dynamic block. A path expression syntax (e.g. ignore_changes = [tags['Owner']]) would help.",feature
13,"Typo in resource provisioner remote-exec documentation","The example in remote-exec docs has 'inine' where it should be 'inline'. See https://developer.hashicorp.com/terraform/language/resources/provisioners/remote-exec",docs
14,"Docs missing example for for_each on modules","The for_each meta-argument on modules was added in 0.13 but the Registry documentation still only mentions count. Could you add a worked example?",docs
15,"Upgrade guide skips the 0.13upgrade step","The 0.12-to-0.13 upgrade page documents the state-format migration but doesn't mention that you must first run `terraform 0.13upgrade`. Several users have been bitten by this.",docs
16,"Clarify what happens to in-flight applies when a workspace is deleted","The docs say workspace deletion is permitted, but don't say whether an in-flight apply continues, is cancelled, or leaves orphaned resources.",docs
17,"Example needed: sensitive=true on output blocks","The docs mention output sensitivity exists, but there is no end-to-end example showing how sensitive outputs propagate (or don't) into a parent module's plan output.",docs
18,"aws_eks_cluster docs don't list the required IAM policies","The docs walk through creating the cluster but never enumerate the IAM policies the calling principal needs. Several users hit AccessDenied with no obvious next step.",docs
19,"How do I migrate state from local backend to S3 backend safely?","I have ~300 resources in a terraform.tfstate file. What's the recommended migration path to an S3 backend without downtime or duplicate resource creation? Should I use terraform state mv?",question
20,"What's the best pattern for managing 100+ AWS accounts?","We're at ~25 accounts and growing. Is the official recommendation one workspace per account, one repo per account, or a single config with assume_role per account?",question
21,"Can I use count and for_each on the same resource?","The docs say count and for_each are mutually exclusive on a single resource, but I see examples online that appear to mix them. Which is correct, and is this changing?",question
22,"Recommended way to share state between workspaces without terraform_remote_state","Our security team flagged terraform_remote_state because it grants broad read access. Is there an officially blessed alternative for exposing a small set of values from one workspace to another?",question
23,"What's the best way to handle secrets in Terraform without committing them?","We use Vault for runtime secrets but have a few that bootstrap Terraform itself (provider credentials). What does HashiCorp recommend for this chicken-and-egg case?",question
24,"How do I import an existing AWS resource using only its ARN?","terraform import requires the resource-specific ID format (e.g. instance-id for EC2). Is there a way to import by ARN directly, since that's the only identifier we have for some legacy resources?",question
25,"Should I use one config or one workspace per environment for staging/prod?","We currently have a single repo with -var-file=staging.tfvars / prod.tfvars. Friend says workspaces are deprecated for this; another says they're fine. What is the current best practice?",question
